"FIPS","GENC","Country/Area Name","Year","GROUP","Population","% of Population","Male Population","% of Males","Female Population","% of Females","Sex Ratio"
"DA","DK","Denmark","2023","TOTAL","5946984","100","2962432","100","2984552","100","0.9925885023949993"
"DA","DK","Denmark","2023","0","66629","1.1203830378558275","34345","1.1593515057898376","32284","1.0817033846285806","1.063839672902986"
"DA","DK","Denmark","2023","1","66365","1.1159438128637977","34190","1.1541193181818181","32175","1.0780512452120117","1.0626262626262626"
"DA","DK","Denmark","2023","2","65995","1.1097221717764836","33981","1.147064303923263","32014","1.0726568007526758","1.0614418691822327"
"DA","DK","Denmark","2023","3","65526","1.1018358213171584","33722","1.138321487210508","31804","1.065620568849194","1.0603068796377815"
"DA","DK","Denmark","2023","4","65047","1.093781318396014","33457","1.1293761342032491","31590","1.0584503134808843","1.0591009813232035"
"DA","DK","Denmark","2023","5","64564","1.0856595544901415","33199","1.1206670735395783","31365","1.0509114935842967","1.058472820022318"
"DA","DK","Denmark","2023","6","64144","1.0785971510937309","32973","1.1130382064465953","31171","1.044411355540128","1.0578101440441436"
"DA","DK","Denmark","2023","7","62539","1.0516086809717329","32060","1.0822189336329069","30479","1.0212252961248456","1.0518717805702287"
"DA","DK","Denmark","2023","8","60809","1.0225183050769935","31132","1.0508933200829589","29677","0.9943535914267869","1.0490278666981163"
"DA","DK","Denmark","2023","9","60049","1.0097387179787267","30722","1.0370533399585207","29327","0.9826265382543174","1.0475670883486208"
"DA","DK","Denmark","2023","10","60808","1.0225014898308116","31138","1.0510958563774628","29670","0.9941190503633376","1.0494775867880013"
"DA","DK","Denmark","2023","11","62490","1.0507847339088183","31945","1.0783369879882476","30545","1.0234366832945112","1.0458340153871337"
"DA","DK","Denmark","2023","12","65295","1.0979514994491326","33341","1.1254604325095057","31954","1.0706464487802525","1.043406146335357"
"DA","DK","Denmark","2023","13","67312","1.1318678509980857","34539","1.1659001793121329","32773","1.098087753203831","1.0538858206450432"
"DA","DK","Denmark","2023","14","68291","1.1483299770101956","35143","1.1862888329588661","33148","1.1106524530314767","1.0601846265234705"
"DA","DK","Denmark","2023","15","69105","1.1620175874022867","35521","1.1990486195126167","33584","1.125261010697753","1.0576762744163888"
"DA","DK","Denmark","2023","16","69338","1.1659355397626763","35554","1.2001625691323885","33784","1.131962183939164","1.052391664693346"
"DA","DK","Denmark","2023","17","69539","1.1693154042452443","35589","1.2013440308503285","33950","1.1375241577295354","1.0482768777614138"
"DA","DK","Denmark","2023","18","69374","1.1665408886252258","35421","1.195673014604217","33953","1.1376246753281565","1.0432362383294553"
"DA","DK","Denmark","2023","19","69683","1.1717367996954422","35687","1.2046521236605598","33996","1.1390654275750598","1.0497411460171784"
"DA","DK","Denmark","2023","20","69889","1.17520074040892","35799","1.2084328011579675","34090","1.1422149789985232","1.0501320035200938"
"DA","DK","Denmark","2023","21","71218","1.197548202584705","36413","1.229159015295541","34805","1.166171673336568","1.0462002585835368"
"DA","DK","Denmark","2023","22","73669","1.238762370976616","37587","1.268788616920152","36082","1.2089586644829777","1.0417105481957762"
"DA","DK","Denmark","2023","23","75037","1.2617656277534965","38272","1.2919115105426893","36765","1.2318431711023967","1.0409900720794234"
"DA","DK","Denmark","2023","24","75504","1.269618347720458","38527","1.3005193030591082","36977","1.2389464147382925","1.0419179489953214"
"DA","DK","Denmark","2023","25","77139","1.297111275227914","39426","1.3308659911856204","37713","1.2636067322666853","1.0454220030228303"
"DA","DK","Denmark","2023","26","78531","1.3205180979131605","40160","1.3556429312132734","38371","1.2856535922309278","1.0466237523129447"
"DA","DK","Denmark","2023","27","80706","1.3570912583588588","41275","1.3932809259419288","39431","1.3211698104104066","1.0467652354746266"
"DA","DK","Denmark","2023","28","83314","1.4009454204013327","42486","1.4341595013826478","40828","1.3679775055016632","1.0406093857156853"
"DA","DK","Denmark","2023","29","82619","1.3892588243048913","42158","1.423087517283097","40461","1.3556808526036739","1.0419416227972615"
"DA","DK","Denmark","2023","30","82146","1.3813052128608383","42024","1.4185642067058417","40122","1.3443223639594821","1.047405413488859"
"DA","DK","Denmark","2023","31","80972","1.3615641138432524","41367","1.3963864824576564","39605","1.3269998311304343","1.044489332155031"
"DA","DK","Denmark","2023","32","79167","1.3312125944848683","40398","1.3636768708952645","38769","1.298988926981336","1.0420181072506385"
"DA","DK","Denmark","2023","33","77848","1.3090332847709023","39765","1.342309291825095","38083","1.2760039027632957","1.0441666885486962"
"DA","DK","Denmark","2023","34","75735","1.2735026695884837","38694","1.3061565632561354","37041","1.241090790175544","1.0446262249939255"
"DA","DK","Denmark","2023","35","73631","1.2381233916217027","37781","1.2753372904424474","35850","1.2011853035229407","1.053863319386332"
"DA","DK","Denmark","2023","36","72220","1.2143970792589993","36991","1.2486700116660905","35229","1.1803781606083592","1.0500156121377275"
"DA","DK","Denmark","2023","37","70778","1.1901494942646558","36063","1.2173443981161425","34715","1.1631561453779327","1.0388304767391618"
"DA","DK","Denmark","2023","38","68858","1.1578642215953499","34995","1.1812929376944348","33863","1.1346091473695215","1.0334288161119807"
"DA","DK","Denmark","2023","39","67154","1.1292110421013408","34031","1.1487521063774628","33123","1.1098148063763005","1.0274129758777888"
"DA","DK","Denmark","2023","40","66880","1.124603664647492","33927","1.1452414772727273","32953","1.104118809121101","1.0295572482019846"
"DA","DK","Denmark","2023","41","66993","1.12650378746605","33882","1.1437224550639473","33111","1.1094127359818158","1.023285313037963"
"DA","DK","Denmark","2023","42","68295","1.1483972379949232","34433","1.1623220381092292","33862","1.1345756415033144","1.0168625598015475"
"DA","DK","Denmark","2023","43","70050","1.1779079950442106","35350","1.1932763351192535","34700","1.162653557384827","1.0187319884726225"
"DA","DK","Denmark","2023","44","71473","1.2018360903610974","36025","1.2160616682509506","35448","1.1877159453077044","1.0162773640261793"
"DA","DK","Denmark","2023","45","71770","1.2068302184771305","36094","1.2183908356377462","35676","1.195355282802913","1.0117165601524836"
"DA","DK","Denmark","2023","46","72546","1.2198788495143085","36591","1.2351675920324923","35955","1.2047034194746815","1.0176887776387151"
"DA","DK","Denmark","2023","47","76772","1.2909400798791455","38522","1.3003505228136882","38250","1.281599382419874","1.007111111111111"
"DA","DK","Denmark","2023","48","79054","1.3293124716663103","39523","1.334140327946768","39531","1.3245203970311121","0.9997976271786699"
"DA","DK","Denmark","2023","49","78171","1.314464609287666","39122","1.3206041522640857","39049","1.3083705695193115","1.0018694460805655"
"DA","DK","Denmark","2023","50","79666","1.3396034023296515","39725","1.3409590498617352","39941","1.338257802176005","0.9945920232342705"
"DA","DK","Denmark","2023","51","80195","1.3484986675598924","40255","1.3588497558762531","39940","1.338224296309798","1.007886830245368"
"DA","DK","Denmark","2023","52","77906","1.3100085690494543","39098","1.3197940070860699","38808","1.300295655763411","1.0074726860441146"
"DA","DK","Denmark","2023","53","75846","1.275369161914678","37938","1.2806369901486347","37908","1.270140376177061","1.0007913896802785"
"DA","DK","Denmark","2023","54","76936","1.293697780252982","38666","1.3052113938817838","38270","1.2822694997440152","1.0103475307029004"
"DA","DK","Denmark","2023","55","80442","1.3526520333668293","40412","1.3641494555824405","40030","1.341239824268433","1.009542842867849"
"DA","DK","Denmark","2023","56","85578","1.439015137757223","42872","1.44718933632907","42706","1.4309015222385135","1.0038870416334942"
"DA","DK","Denmark","2023","57","86474","1.4540815983362323","43352","1.4633922398893882","43122","1.4448399625806485","1.0053337043736377"
"DA","DK","Denmark","2023","58","83491","1.4039217189755344","41974","1.416876404251642","41517","1.3910630473183245","1.0110075390803768"
"DA","DK","Denmark","2023","59","81056","1.3629765945225345","40677","1.3730948085896992","40379","1.3529333715746952","1.007380073800738"
"DA","DK","Denmark","2023","60","77713","1.3067632265363418","38812","1.310139777048047","38901","1.3034117013206672","0.9977121410760649"
"DA","DK","Denmark","2023","61","73881","1.2423272031671853","36761","1.2409061203767715","37120","1.2437377536059013","0.9903286637931035"
"DA","DK","Denmark","2023","62","72060","1.2117066398698904","35839","1.2097830431213275","36221","1.2136159798857584","0.9894536318710141"
"DA","DK","Denmark","2023","63","69920","1.1757220130405597","34733","1.172448852834428","35187","1.178970914227663","0.9870975076022395"
"DA","DK","Denmark","2023","64","68062","1.1444792856345334","33615","1.1347095899585207","34447","1.1541765732344418","0.9758469532905623"
"DA","DK","Denmark","2023","65","67275","1.1312456868893543","33188","1.1202957569996543","34087","1.142114461399902","0.9736263091501158"
"DA","DK","Denmark","2023","66","66587","1.1196767975161865","32744","1.1053080712063603","33843","1.1339390300453804","0.9675265195165913"
"DA","DK","Denmark","2023","67","65470","1.1008941675309702","32035","1.0813750324058071","33435","1.1202686366329018","0.9581277104830268"
"DA","DK","Denmark","2023","68","63656","1.070391310956949","30950","1.0447497191496715","32706","1.0958428601679582","0.9463095456491164"
"DA","DK","Denmark","2023","69","62719","1.0546354252844803","30398","1.026116380055306","32321","1.0829431016782418","0.9405030784938585"
"DA","DK","Denmark","2023","70","61616","1.0360882087458114","29793","1.0056939703594885","31823","1.0662571803071281","0.9362096596801056"
"DA","DK","Denmark","2023","71","59718","1.0041728714925078","28760","0.9708239716557207","30958","1.0372746060380251","0.9290005814329091"
"DA","DK","Denmark","2023","72","59096","0.9937137883673471","28297","0.9551949209298307","30799","1.0319471733111034","0.9187635962206565"
"DA","DK","Denmark","2023","73","58577","0.9849866755989254","27833","0.9395321141548566","30744","1.0301043506697152","0.9053148581837106"
"DA","DK","Denmark","2023","74","58916","0.9906870440545997","27979","0.9444604973211199","30937","1.036570982847677","0.9043863335165013"
"DA","DK","Denmark","2023","75","60778","1.0219970324453538","28820","0.9728493346007604","31958","1.0707804722450807","0.9018086238187621"
"DA","DK","Denmark","2023","76","62047","1.0433355798502233","29344","0.9905375043207743","32703","1.0957423425693371","0.8972877106075895"
"DA","DK","Denmark","2023","77","59602","1.0022223029354038","28182","0.951312975285171","31420","1.0527543162256847","0.8969446212603437"
"DA","DK","Denmark","2023","78","55174","0.9277643928418169","25758","0.8694883123055651","29416","0.9856085603467455","0.8756459069893935"
"DA","DK","Denmark","2023","79","49587","0.8338176124233728","22871","0.7720345986000692","26716","0.8951427215876957","0.8560787543045366"
"DA","DK","Denmark","2023","80","44200","0.743233881241315","20181","0.6812308265641203","24019","0.8047774004272668","0.8402098338815105"
"DA","DK","Denmark","2023","81","38545","0.6481436640824997","17377","0.5865788649325959","21168","0.7092521758709515","0.8209089191232048"
"DA","DK","Denmark","2023","82","33743","0.5673968519168707","14929","0.503944056774974","18814","0.6303793668195428","0.7935048368236419"
"DA","DK","Denmark","2023","83","30332","0.5100400471903068","13212","0.4459849204977532","17120","0.5736204294647906","0.7717289719626168"
"DA","DK","Denmark","2023","84","27317","0.4593420799517873","11763","0.39707240537504324","15554","0.5211502429845418","0.7562684839912562"
"DA","DK","Denmark","2023","85","24303","0.40866092795944964","10189","0.34394038411683375","14114","0.47290179564638174","0.7219073260592319"
"DA","DK","Denmark","2023","86","21123","0.3551884451009117","8564","0.28908680435534045","12559","0.4208001736944104","0.6819014252727128"
"DA","DK","Denmark","2023","87","17989","0.3024894635667424","7067","0.2385539988765987","10922","0.3659510707134605","0.6470426661783556"
"DA","DK","Denmark","2023","88","15140","0.25458282719442327","5796","0.19565006049083997","9344","0.3130788138387269","0.620291095890411"
"DA","DK","Denmark","2023","89","12752","0.21442801931197394","4738","0.15993616055997234","8014","0.26851601178334306","0.59121537309708"
"DA","DK","Denmark","2023","90","10735","0.18051166776302072","3772","0.12732781714483235","6963","0.23330134639972766","0.5417205227631768"
"DA","DK","Denmark","2023","91","8750","0.14713340409188927","2971","0.10028922182855168","5779","0.19363040081057392","0.5141027859491262"
"DA","DK","Denmark","2023","92","7123","0.11977499855388883","2321","0.07834778992395437","4802","0.16089516952628066","0.4833402748854644"
"DA","DK","Denmark","2023","93","5910","0.09937810493520749","1842","0.06217864241272036","4068","0.1363018637303019","0.4528023598820059"
"DA","DK","Denmark","2023","94","4688","0.07882987410088878","1389","0.04688715217767024","3299","0.1105358526170762","0.4210366777811458"
"DA","DK","Denmark","2023","95","3681","0.06189692119568507","1035","0.0349375108019357","2646","0.08865652198386893","0.391156462585034"
"DA","DK","Denmark","2023","96","2796","0.047015428324676846","754","0.025452061009332873","2042","0.06841897879480739","0.3692458374142997"
"DA","DK","Denmark","2023","97","2099","0.035295201735871494","526","0.01775568181818182","1573","0.05270472754369836","0.33439287984742533"
"DA","DK","Denmark","2023","98","1544","0.025962740104900236","360","0.012152177670238507","1184","0.03967094558915375","0.30405405405405406"
"DA","DK","Denmark","2023","99","1118","0.018799445231397965","248","0.00837150017283097","870","0.029150103600138314","0.2850574712643678"
"DA","DK","Denmark","2023","100+","2011","0.03381546007186163","377","0.012726030504666436","1634","0.054748585382328734","0.2307221542227662"