"Label (Grouping)","United States"
"Total:","204,277,273"
"    Male:","100,777,788"
"        Under 1 year","930,833"
"        1 year","952,663"
"        2 years","989,698"
"        3 years","1,024,019"
"        4 years","1,062,508"
"        5 years","1,080,622"
"        6 years","1,075,288"
"        7 years","1,081,278"
"        8 years","1,095,903"
"        9 years","1,099,411"
"        10 years","1,148,123"
"        11 years","1,156,279"
"        12 years","1,195,676"
"        13 years","1,196,983"
"        14 years","1,184,041"
"        15 years","1,195,292"
"        16 years","1,211,157"
"        17 years","1,192,060"
"        18 years","1,220,447"
"        19 years","1,301,950"
"        20 years","1,339,569"
"        21 years","1,307,888"
"        22 years","1,250,020"
"        23 years","1,210,162"
"        24 years","1,216,969"
"        25 years","1,282,831"
"        26 years","1,233,505"
"        27 years","1,258,569"
"        28 years","1,302,430"
"        29 years","1,315,803"
"        30 years","1,424,103"
"        31 years","1,284,982"
"        32 years","1,298,708"
"        33 years","1,277,150"
"        34 years","1,292,429"
"        35 years","1,371,917"
"        36 years","1,257,122"
"        37 years","1,269,379"
"        38 years","1,270,091"
"        39 years","1,254,630"
"        40 years","1,331,270"
"        41 years","1,173,206"
"        42 years","1,181,546"
"        43 years","1,138,790"
"        44 years","1,114,567"
"        45 years","1,206,500"
"        46 years","1,110,306"
"        47 years","1,150,822"
"        48 years","1,244,502"
"        49 years","1,342,585"
"        50 years","1,404,362"
"        51 years","1,273,671"
"        52 years","1,262,058"
"        53 years","1,284,513"
"        54 years","1,322,465"
"        55 years","1,465,839"
"        56 years","1,452,753"
"        57 years","1,461,347"
"        58 years","1,493,696"
"        59 years","1,501,361"
"        60 years","1,543,679"
"        61 years","1,464,043"
"        62 years","1,483,374"
"        63 years","1,437,183"
"        64 years","1,401,258"
"        65 years","1,418,126"
"        66 years","1,322,555"
"        67 years","1,292,668"
"        68 years","1,251,189"
"        69 years","1,170,572"
"        70 years","1,172,201"
"        71 years","1,115,290"
"        72 years","1,145,106"
"        73 years","1,117,513"
"        74 years","808,353"
"        75 years","802,136"
"        76 years","779,564"
"        77 years","768,342"
"        78 years","647,402"
"        79 years","570,045"
"        80 years","523,446"
"        81 years","481,153"
"        82 years","437,858"
"        83 years","384,628"
"        84 years","351,017"
"        85 years","316,727"
"        86 years","264,273"
"        87 years","239,571"
"        88 years","211,398"
"        89 years","184,133"
"        90 years","154,117"
"        91 years","123,247"
"        92 years","100,828"
"        93 years","78,056"
"        94 years","58,867"
"        95 years","43,050"
"        96 years","30,684"
"        97 years","21,067"
"        98 years","13,710"
"        99 years","9,030"
"        100 to 104 years","10,657"
"        105 to 109 years","710"
"        110 years and over","315"
"    Female:","103,499,485"
"        Under 1 year","886,566"
"        1 year","910,651"
"        2 years","943,900"
"        3 years","975,562"
"        4 years","1,010,169"
"        5 years","1,026,780"
"        6 years","1,021,970"
"        7 years","1,029,489"
"        8 years","1,039,054"
"        9 years","1,043,483"
"        10 years","1,086,942"
"        11 years","1,096,752"
"        12 years","1,135,564"
"        13 years","1,133,892"
"        14 years","1,118,676"
"        15 years","1,127,293"
"        16 years","1,143,714"
"        17 years","1,127,372"
"        18 years","1,182,700"
"        19 years","1,280,167"
"        20 years","1,299,854"
"        21 years","1,262,820"
"        22 years","1,205,136"
"        23 years","1,168,482"
"        24 years","1,176,416"
"        25 years","1,236,629"
"        26 years","1,199,730"
"        27 years","1,225,167"
"        28 years","1,274,016"
"        29 years","1,287,389"
"        30 years","1,381,298"
"        31 years","1,262,989"
"        32 years","1,275,943"
"        33 years","1,256,621"
"        34 years","1,271,984"
"        35 years","1,332,362"
"        36 years","1,237,964"
"        37 years","1,254,730"
"        38 years","1,253,568"
"        39 years","1,241,722"
"        40 years","1,297,639"
"        41 years","1,161,470"
"        42 years","1,171,455"
"        43 years","1,130,028"
"        44 years","1,108,195"
"        45 years","1,179,359"
"        46 years","1,103,297"
"        47 years","1,148,904"
"        48 years","1,241,315"
"        49 years","1,341,573"
"        50 years","1,387,879"
"        51 years","1,282,720"
"        52 years","1,269,434"
"        53 years","1,302,929"
"        54 years","1,344,482"
"        55 years","1,485,682"
"        56 years","1,489,500"
"        57 years","1,504,979"
"        58 years","1,541,297"
"        59 years","1,559,662"
"        60 years","1,600,508"
"        61 years","1,536,609"
"        62 years","1,562,985"
"        63 years","1,524,943"
"        64 years","1,493,982"
"        65 years","1,513,224"
"        66 years","1,431,799"
"        67 years","1,403,655"
"        68 years","1,366,897"
"        69 years","1,286,695"
"        70 years","1,293,819"
"        71 years","1,242,763"
"        72 years","1,276,582"
"        73 years","1,254,772"
"        74 years","919,465"
"        75 years","925,505"
"        76 years","912,490"
"        77 years","910,542"
"        78 years","782,262"
"        79 years","702,296"
"        80 years","661,995"
"        81 years","614,460"
"        82 years","571,943"
"        83 years","517,527"
"        84 years","483,716"
"        85 years","450,540"
"        86 years","387,682"
"        87 years","365,833"
"        88 years","336,053"
"        89 years","307,736"
"        90 years","272,408"
"        91 years","231,950"
"        92 years","203,059"
"        93 years","167,689"
"        94 years","135,141"
"        95 years","108,418"
"        96 years","82,284"
"        97 years","59,898"
"        98 years","43,883"
"        99 years","30,060"
"        100 to 104 years","44,628"
"        105 to 109 years","2,976"
"        110 years and over","498"